,Created At,Text,Location,Address,Longitude,Latitude
267,Thu Mar 05 17:52:05 +0000 2020, So entire outrage @ uscirf CAA hypothetical NRC . What sham ! It would useful know many hearings conducted reals 1 ) persecution Hindus Bangladesh & amp ; Pakistan 2 ) Lautenberg Amendment Act US . Religiously discriminatory org .,Hindusthan,"Hindusthan Shipyard limited, MTC Palem, Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India",83.27708946884272,17.6901653
268,Thu Mar 05 17:52:13 +0000 2020, NRC country ... https : //t.co/GsIjmjfVpd,"Gurgaon, India","Gurgaon, Gurugram, Haryana, India",77.00270014657752,28.42826235
271,Thu Mar 05 17:52:19 +0000 2020, https : //t.co/R28TnWkdov '' White House National Security Advisor John Bolton called Hague-based rights body `` unaccountable '' `` outright dangerous '' `` .This tell @ UNHumanRights Who want implead # SupremeCourt # caa .,"Hyderabad, India","Hyderabad, Telangana, India",78.46106473453146,17.38878595
272,Thu Mar 05 17:52:23 +0000 2020, @ indSupremeCourt @ SupremeCourtIND It seems courts pressing cases deal interferi… https : //t.co/QvuUeB8o3D,Mumbai,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
273,Thu Mar 05 17:52:25 +0000 2020," Till , religious sites vandalized/attacked : 1 . Anti CAA protests : - Hindu temple Patna . - 3 Hindu temples Aligarh . 2 . Delhi Violence : - Mazar torched . - Mosque Ashok Nagar . - At-least , 2 Hindu Temples including one Shiv Temple Chandbagh .",India,India,78.6677428,22.3511148
275,Thu Mar 05 17:52:29 +0000 2020, @ RobertSParis1 @ FahimInsurance @ NBADraftAddict That ’ totally fair . I ’ questioning opinion . My point… https : //t.co/4sCnxLaVuM,"New York, NY","New York, United States of America",-74.0060152,40.7127281
276,Thu Mar 05 17:52:29 +0000 2020, About Assam # NRC . https : //t.co/891m56hpWG,"Pune, India","Pune, Pune City, Pune District, Maharashtra, 411001, India",73.8544541,18.521428
277,Thu Mar 05 17:52:29 +0000 2020," @ GautamGambhir @ ImranKhanPTI Demolition Barbi masjid . massacre Muslims Gujarat , Mumbai , Delhi.Lynching in… https : //t.co/2nUBIheLFk","Srinagar, Kashmir ","Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India",74.8204443,34.0747444
279,Thu Mar 05 17:52:31 +0000 2020, United Nations➕UN-ICC➕ ICJ Courts 🔴File My Case to🔨Prosecute🔨 India PM👿Modi👿 For Following Crimes🔴 ⤵… https : //t.co/xFGhSueYHj,"INDIA, Vashi Navi Mumbai","Navi Mumbai Sports Association, Sagar Vihar Road, Vashi, Navi Mumbai, Thane, Maharashtra, 400703, India",72.99274872759023,19.0708041
280,Thu Mar 05 17:52:34 +0000 2020," The work committed historian never finished ; aim series RAF Squadron losses 1st April 1918 , onwards provide sufficient background detail , hopefully , may prompt investigation . Today , I 'm delving service Major CAA Hiatt https : //t.co/5DUtKyaKAb",Salisbury,"Salisbury, Wiltshire, South West England, England, United Kingdom",-1.8074237640795872,51.0796895
283,Thu Mar 05 17:52:42 +0000 2020, RT @ TheAngryLord : Breaking - Amit Shah pull back CAA . Moment celebration Shaheen Bagh ... Read ... https : //t.co/v0C0OavmZ7,searching,"What are you searching for?, Moor Street, Digbeth, Birmingham, West Midlands Combined Authority, West Midlands, England, B5, United Kingdom",-1.8930052,52.478218
284,Thu Mar 05 17:52:42 +0000 2020," Share shame supporters `` peaceful protest '' , # UrbanNaxals , bolly hipocrates librandus ... How will… https : //t.co/huwmYSm1IF","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
286,Thu Mar 05 17:52:47 +0000 2020," Indian Islamic cleric Maulana # TauqeerRaza threatens soak India blood ; create bloodbath Delhi streets Home Minister @ AmitShah n't abrogate country 's # CAA Law . In another video shot days # DelhiRiots , warns PM @ NarendraModi . https : //t.co/6CeqJ0gmMt","Indore, Madhya Pradesh","Indore, Shastri Bridge, Martand Chowk, Indore Tahsil, Indore, Madhya Pradesh, 452001, India",75.8681124,22.7205162
288,Thu Mar 05 17:52:53 +0000 2020," Let 's Encrypt says replaced 1,706,505 3,048,289 wrongly-issued TLS certs More 1 million certs wo n't revoked , LE afraid 'll break many existing apps . https : //t.co/h2CGRQX1t6 https : //t.co/Z3poCgKB8l",Slovensko,Slovensko,19.4528646,48.7411522
