Sentence,Polarity,Subjectivity
" MEDIA BLACKOUT : Jihadis declared WAR non-Muslims India Mullah boasts Muslim pop . double 30yrs , threatens Hindus Islamic rule India , vows PM Modi dead soon & amp ; CAA supporters burned alive Crowd Terrorists celebrate & amp ; chant `` Allahu Akbar '' https : //t.co/xBP200SiDP",-0.03333333333333333,0.26666666666666666
 @ PradhaanSewak @ Arungk34 @ Saral_Shamshad @ ManpritShergill @ SaumyadeepDas4 @ Nehr_who @ narendramodi Hey WhatsApp Univ… https : //t.co/I2zQN5XZZc,0.0,0.0
 @ okokthikhai @ AskAnshul CAA extended wing NRC . Hope heard assam NRC . The whole mission was… https : //t.co/pS87iO9vKt,0.2,0.4
 👆Listen IDIOT Congress Press briefing 2018 wherein blaming Modi Amit shah going ahead NRC . He started briefing title `` NRC virodhi Narendra Modi '' # saisubr # CAA_NRC_Protests # CAA_NRC_NPR 1/n https : //t.co/3npRXSi8wE,-0.8,0.8
" All Bangladeshis living Bengal Indian citizens , Mamata Banerjee says , read views issue CM https : //t.co/B0OODulQVg",0.0,0.0
" CAA presumes countries ill treating minorities offering succour . This ’ interfering internal matters . But nations express concerns discriminatory act , interference internal matters . Hmmm ...",-0.16666666666666666,0.3333333333333333
" Check list , go force-renew LetsEncrypt certs , friends .",0.0,0.0
 UN body moves Indian Supreme Court contentious citizenship law United Nations High Commissioner Refuge… https : //t.co/lwqtvQCGFV,0.16,0.5399999999999999
 I n't achieved much life I proud I original years NRC .,0.4583333333333333,0.65
 See behavior Police . No law applicable Delhi Police . @ pbhushan1 @ BhavikaKapoor5 @ amitbehere @ sonaliranade Protester came participate Young India March CAA/ @ DelhiPolice @ nsaibalaji @ kawalpreetdu @ kavita_krishnan @ ojhaanjali https : //t.co/Phc7ua4261,0.1,0.4
" Arrest maulana 's asap r Giving hate speeches name Anti caa protests ! ! 😡😡 He maulana abul kalam ; addressing purnea , bihar . u dnt stop modi ji ; corona virus may spread India & amp ; u may also get infected it.👏👏 https : //t.co/GRuacl0vBG",-0.525,0.45
 @ rakhitripathi You dad real pillars anti caa.nrc protest delhi,0.2,0.30000000000000004
 UN High Commissioner Human Rights Michelle Bachelet moving file intervention application Supreme Court Citizenship Amendment Act ( CAA ) . https : //t.co/Clc5dPQakR,0.08,0.31999999999999995
" @ nrc Mike Bloomberg : I 'm Not Upset Many Trump Policies , Just His Style https : //t.co/TfMvHXNOaI via @ BreitbartNews",0.5,0.5
" RT @ WatchChad : @ JohnBrennan “ Got ta love ol Jack Brenham ! He ran CAA like real pro , man. ” - Joe Biden",0.4125,0.45
 @ fborgesius @ nrc Who needs cookies users within walled gardens ? That 's strategy . Performace marketing w… https : //t.co/R057r6LS4w,0.0,0.0
 But n't threat # India 's secular democracy ? 'Majoritarianism ' promoted # Hindu nationalist # BJP government Featuring interview @ AshoSwai Full video : https : //t.co/C9eF6x7Kjc For please follow @ SubcontinentPTV # CitizenshipAmendmentAct # CAA # NRC # CAAProtest https : //t.co/ZMPBveWbTA,0.35,0.55
 Modi Govt says CAA internal matter UNHR files petition SC CAA The Modi Govt Invited envoys Different Foreign countries visit Kashmir & amp ; see Normalcy 370 removed Was n't Kashmir Internal matter ? Why Hypocrisy & amp ; Dual Stand ?,-0.03125,0.18125
" As protests new citizenship law sweep country , signs authorities condoning even inst… https : //t.co/QDloIchd8N",0.13636363636363635,0.45454545454545453
" Majority traders Muslims , stopped buying knitted garments producers , mostly Hindus , claim manufacturers . https : //t.co/rIBCkuJxFr",0.5,0.5
 Conference Tournament Predictions A Sun : North Florida Liberty Big South : Winthrop Liberty CAA : William & amp ; … https : //t.co/QOd4yjBTOb,0.0,0.1
" As protests new citizenship law sweep country , signs authorities condoning even instigating violence India ’ Muslims alarmed . https : //t.co/8IbWeYbehh",0.13636363636363635,0.45454545454545453
 International behaviour towards India shown true nature world opinion towards India Anti CAA agitation . A big lie pinned us . Now UN HRC wants intervene Supreme Court hearing ! ! !,0.18515625,0.2125
 @ EmmanuelMacron hey ... ur bk follow twtr..India permanent ... importantly ... Modi permanent hubby..thats great ne… https : //t.co/JSd2o8TNtL,0.6000000000000001,0.875
 Here ’ online version article https : //t.co/FtueUKNJZF,0.0,0.0
" We must rightly condemn violence hear plainly see evidence directed towards peaceful Hindu community- muslim school terrace . So International Media ? Cowering , ’ . Spineless insipid anti Hindu propagandists . 🥊",0.08035714285714285,0.3482142857142857
" CAA belong Pakistan , Bangladesh Afghanistan anyone ca n't say internal matter . # CAA… https : //t.co/OMDt6JK0K1",0.0,0.0
 Why world sleeping police brutality Muslims UP/India ? Are waiting full scale genocide ? @ UNHumanRights @ cjwerleman @ OIC_OCI @ USCIRF @ AJEnglish @ BBCWorld @ nytimes @ washingtonpost @ UNGeneva,0.35,0.55
" Anti-CAA riots India establishing Sharia , Nothing Else ! In 2017 , SP leader Mavia Ali clear ; '' We 're Muslims first , Indians later - If law clashes w/ ideology Islam , I Islam - We loyal country , leaders '' https : //t.co/Oerl7e1ZTh",0.17083333333333334,0.38749999999999996
" RT @ CofCSoftball : A 3-0 record , 0.36 ERA 1 walk 19.2 innings earns Drayton Siegling CAA Pitcher Week honors ! https : //t.co/wc9…",0.0,0.0
 When South Africa legalised Apartheid took World long time take action sanction total boycott . This time Indian citizens urge works leaders # BoycottIndia force Govt take back systematic genocide . Act millions lose lives .,0.0125,0.3125
 RT @ Aakar__Patel : CAA internal matter India Lok Sabha allowed discuss .,0.0,0.0
" Dear Modi govt , withdraw present # CAA must , redraft substantially . Take words : ” Hindu , Sikh , Buddhist , Jain , Parsi , Christian. ” Replace words : “ persecuted religious minorities. ” 🙏 # CAA_NRC_Protests",0.0,0.08333333333333333
" Tu kaun ? Main khwam khwah ! Has @ UNHumanRights ever stood Islamic nations ' laws clearly discriminate people basis gender , faith religion ? Has passed injunctions abandoned Kurds ? Height presumptuousness !",0.16666666666666669,0.3583333333333333
" Has UNHRC heard Lautenberg amendment persecuted groups grants refugee status United States Jews , Evangelical Christians , Catholics , Orthodox Baha ’ . UNHRC disclose many Hindus given refugees status Pak , Afg Bangladesh ?",0.15,0.55
 @ syedKashaf95 May 's right people r asking u pass CAA . Who Accountable Delhi riots . Why Muslims ha… https : //t.co/MN446EmUqI,0.2857142857142857,0.5357142857142857
 RT @ Shudraism : How CAA internal matter designated objective throw millions people OUT India ?,0.0,0.05
 Position irreversible whatever print whatever,0.0,0.0
" Rohingya Muslims Alameen Sheikh gang arrested , used ‘ settle ’ illegal immigrants forged documents , anti-CAA funding link suspected https : //t.co/KuTQeUs11k",-0.5,0.5
 @ ShashiTharoor @ UN We support CAA NRC & amp ; clause religious persecution minorities undivided India pr… https : //t.co/KSFIekJP21,0.0,0.25
" # UNHRC Intent questionable ~ Interfering # India 's Internal matters & amp ; questioning duly passed law ~ Headed Chile 's former President Michelle Bachelet , Socialist leader ~ It keeps quite Hindus & amp ; minorities Rap€d , Murd€red & amp ; converted neighbouring countries https : //t.co/bmqn4uUukA https : //t.co/pCk8nFpc6Q",-0.16666666666666666,0.3333333333333333
